dataset,n_players,n_excerpts_per_player,iteration,accuracy,precision,recall,f1,kappa
bilbao,2,10,2,0.36923076923076925,0.3923076923076923,0.3653846153846155,0.3326317757264049,0.3173668032786885
bilbao,2,10,3,0.38461538461538464,0.3413919413919414,0.38461538461538464,0.324536686884865,0.3331623493203386
bilbao,2,10,4,0.3384615384615385,0.3541958041958042,0.3320512820512821,0.2983988233988234,0.2822290703646636
bilbao,2,10,5,0.24615384615384617,0.24370245139475907,0.24358974358974364,0.22273394621572756,0.18186488569226822
bilbao,2,10,6,0.24615384615384617,0.18647561588738062,0.24871794871794872,0.1946310100156254,0.1831238779174149
bilbao,2,10,7,0.3076923076923077,0.37912056983264414,0.3128205128205129,0.28557553557553556,0.25153531218014324
bilbao,2,10,8,0.36923076923076925,0.394971694971695,0.3705128205128205,0.31238549297015594,0.31789096493473257
bilbao,2,10,9,0.38461538461538464,0.5465201465201465,0.3846153846153847,0.3877952456899826,0.3331623493203385
bilbao,2,10,10,0.4153846153846154,0.37289377289377296,0.4128205128205128,0.35375434282316875,0.36731557377049184
bilbao,2,10,11,0.3384615384615385,0.26202686202686204,0.3282051282051282,0.2694621168305379,0.28278162689248143
bilbao,2,10,12,0.4153846153846154,0.3585164835164835,0.41923076923076924,0.3637452291298445,0.36617911213754173
bilbao,2,10,13,0.47692307692307695,0.44246031746031744,0.4615384615384616,0.42013712782943546,0.4315843621399177
bilbao,2,10,14,0.38461538461538464,0.43892773892773895,0.38717948717948725,0.3627650127650127,0.334357398873528
bilbao,2,15,0,0.24615384615384617,0.28717948717948716,0.23974358974358972,0.2307248307248307,0.18437900128040985
bilbao,2,15,1,0.4307692307692308,0.49523809523809526,0.4256410256410256,0.430859010270775,0.3833333333333333
bilbao,2,15,2,0.3384615384615385,0.37344142785319256,0.3358974358974359,0.27968441814595657,0.28406762295081966
bilbao,2,15,3,0.27692307692307694,0.23701512163050625,0.2858974358974359,0.21258509893745625,0.21827021494370524
bilbao,2,15,4,0.15384615384615385,0.1341222879684418,0.13974358974358975,0.10817714211379369,0.08168507577703554
bilbao,2,15,5,0.3230769230769231,0.23239088846376296,0.31923076923076926,0.2547437942174784,0.26497044461578
bilbao,2,15,6,0.3230769230769231,0.23239088846376296,0.31923076923076926,0.2547437942174784,0.26497044461578
bilbao,2,15,7,0.3230769230769231,0.4484073897117376,0.3230769230769231,0.30213804762876384,0.2640247040658775
bilbao,2,15,8,0.3384615384615385,0.409920634920635,0.34102564102564104,0.31198742777690147,0.2833333333333333
bilbao,2,15,9,0.4,0.38957708957708953,0.4025641025641026,0.34494931915746396,0.3521594684385382
bilbao,2,15,10,0.46153846153846156,0.46703296703296704,0.45769230769230773,0.4318869165023011,0.4162176032845778
bilbao,2,15,11,0.46153846153846156,0.475990675990676,0.4628205128205129,0.44068676421617603,0.4163673678809646
