dataset,player_trained_on,test_type,iteration,accuracy,precision,recall,f1,kappa
cnsm,SMD,Same Player,8,0.9583333333333334,0.9696969696969697,0.9333333333333332,0.947089947089947,0.9342465753424658
cnsm,SMD,Different Player,8,0.8700696055684455,0.8901170014495755,0.8641113480538677,0.8711543439134278,0.7967026796343298
cnsm,SMD,Same Player,9,1.0,1.0,1.0,1.0,1.0
cnsm,SMD,Different Player,9,0.8391337973704563,0.8452729413079688,0.8441802937221842,0.8379003317076291,0.7512472599128721
cnsm,Hélène,Same Player,0,0.8636363636363636,0.8842592592592592,0.8842592592592592,0.8823529411764706,0.7904761904761904
cnsm,Hélène,Different Player,0,0.6894171779141104,0.7301181832142297,0.6943795997480446,0.7086561722866324,0.5116303585927053
cnsm,Hélène,Same Player,1,0.8636363636363636,0.8842592592592592,0.8842592592592592,0.8823529411764706,0.7904761904761904
cnsm,Hélène,Different Player,1,0.6794478527607362,0.7371708790304833,0.6832841419478021,0.7012733560335178,0.49378693938504625
cnsm,Hélène,Same Player,2,0.7727272727272727,0.8055555555555555,0.8055555555555555,0.8039215686274511,0.6507936507936508
cnsm,Hélène,Different Player,2,0.7292944785276073,0.7797540311431471,0.7270061341757179,0.7445738214675323,0.5724347917357506
cnsm,Hélène,Same Player,3,0.7272727272727273,0.7714285714285715,0.7685185185185185,0.7638888888888888,0.5822784810126582
cnsm,Hélène,Different Player,3,0.6418711656441718,0.7022679410612764,0.6462187560688339,0.6615466129208202,0.4339178198834497
cnsm,Hélène,Same Player,4,0.8636363636363636,0.8842592592592592,0.8842592592592592,0.8823529411764706,0.7904761904761904
cnsm,Hélène,Different Player,4,0.6495398773006135,0.7150129282482224,0.6451870819201718,0.6646983851361503,0.4437057407915642
cnsm,Hélène,Same Player,5,0.7727272727272727,0.8047619047619049,0.8009259259259259,0.8011695906432749,0.6485623003194888
cnsm,Hélène,Different Player,5,0.727760736196319,0.7740487576937413,0.7188505603708543,0.7371650361360079,0.5693615216165782
cnsm,Hélène,Same Player,6,0.8181818181818182,0.8425925925925926,0.8425925925925926,0.8425925925925926,0.7197452229299364
cnsm,Hélène,Different Player,6,0.6679447852760736,0.7336455638502916,0.656916860593182,0.680674839778708,0.4718707119987803
cnsm,Hélène,Same Player,7,0.6818181818181818,0.7268518518518517,0.7268518518518517,0.7254901960784315,0.5111111111111111
cnsm,Hélène,Different Player,7,0.691717791411043,0.7497455363104084,0.6897658498886151,0.7061612449156046,0.5132236416296081
cnsm,Hélène,Same Player,8,0.8181818181818182,0.8425925925925926,0.8425925925925926,0.8425925925925926,0.7197452229299364
cnsm,Hélène,Different Player,8,0.7193251533742331,0.7688719351197234,0.7213325132191493,0.7350685197015419,0.5574024528783066
cnsm,Hélène,Same Player,9,0.6363636363636364,0.6851851851851851,0.6851851851851851,0.6851851851851851,0.4394904458598726
cnsm,Hélène,Different Player,9,0.6641104294478528,0.7131512814745963,0.6736603660157231,0.6843651673588166,0.4714946798026821
cnsm,Clara,Same Player,0,1.0,1.0,1.0,1.0,1.0
cnsm,Clara,Different Player,0,0.9066666666666666,0.9044056496573744,0.9048950377307392,0.9036632331963111,0.8552587646076795
cnsm,Clara,Same Player,1,1.0,1.0,1.0,1.0,1.0
cnsm,Clara,Different Player,1,0.9184313725490196,0.9142700109359838,0.9165912717977495,0.9148661868189459,0.8735652130798026
cnsm,Clara,Same Player,2,0.9629629629629629,0.9696969696969697,0.9722222222222222,0.9696342305037957,0.9415584415584416
cnsm,Clara,Different Player,2,0.908235294117647,0.9012136468769935,0.9114006421010287,0.9048192838920667,0.8583583526556563
cnsm,Clara,Same Player,3,1.0,1.0,1.0,1.0,1.0
cnsm,Clara,Different Player,3,0.8972549019607843,0.8940044820488655,0.8963371844163023,0.8935743296375978,0.8408706786659528
cnsm,Clara,Same Player,4,1.0,1.0,1.0,1.0,1.0
cnsm,Clara,Different Player,4,0.9129411764705883,0.9088268770908723,0.9113653684447759,0.9093841569337924,0.8650834809367558
cnsm,Clara,Same Player,5,1.0,1.0,1.0,1.0,1.0
cnsm,Clara,Different Player,5,0.9027450980392157,0.9002352083942834,0.8992730722441165,0.8987784882162263,0.8490758401063057
cnsm,Clara,Same Player,6,1.0,1.0,1.0,1.0,1.0
cnsm,Clara,Different Player,6,0.9152941176470588,0.9118774401735635,0.9168043046986621,0.9134372909205029,0.8688753754239886
cnsm,Clara,Same Player,7,1.0,1.0,1.0,1.0,1.0
cnsm,Clara,Different Player,7,0.9152941176470588,0.9152805335705505,0.9173781260769712,0.9154914366926433,0.8686988311621441
cnsm,Clara,Same Player,8,1.0,1.0,1.0,1.0,1.0
cnsm,Clara,Different Player,8,0.9003921568627451,0.8938715258133255,0.9001461711516298,0.8954641456460063,0.846007756435007
cnsm,Clara,Same Player,9,0.9629629629629629,0.9444444444444445,0.9666666666666667,0.9521531100478469,0.9419354838709677
cnsm,Clara,Different Player,9,0.9050980392156863,0.9019725596330436,0.9024167229847665,0.9012077390281098,0.8528261388027665
cnsm,Norimi,Same Player,0,1.0,1.0,1.0,1.0,1.0
cnsm,Norimi,Different Player,0,0.9305555555555556,0.9278038138332256,0.9275961473001252,0.927640319546163,0.8921649476911243
cnsm,Norimi,Same Player,1,1.0,1.0,1.0,1.0,1.0
cnsm,Norimi,Different Player,1,0.9158950617283951,0.9104105259317347,0.9139551988765681,0.911784869735884,0.8696418898530075
cnsm,Norimi,Same Player,2,1.0,1.0,1.0,1.0,1.0
cnsm,Norimi,Different Player,2,0.9351851851851852,0.933881990968313,0.9326731958554345,0.9332349553063738,0.8993115963140852
cnsm,Norimi,Same Player,3,1.0,1.0,1.0,1.0,1.0
cnsm,Norimi,Different Player,3,0.9236111111111112,0.9205818608762568,0.9210910376497795,0.9206383097418535,0.8814240865179785
cnsm,Norimi,Same Player,4,1.0,1.0,1.0,1.0,1.0
cnsm,Norimi,Different Player,4,0.9290123456790124,0.9253621220351258,0.9285415992168998,0.9267998849531164,0.8899356961268132
cnsm,Norimi,Same Player,5,1.0,1.0,1.0,1.0,1.0
cnsm,Norimi,Different Player,5,0.9197530864197531,0.9188985572606839,0.9127370727740756,0.91550080313118,0.8750780854648889
cnsm,Norimi,Same Player,6,1.0,1.0,1.0,1.0,1.0
cnsm,Norimi,Different Player,6,0.9290123456790124,0.9229218232052311,0.9279793595242255,0.9252694063626885,0.8900370011030239
cnsm,Norimi,Same Player,7,1.0,1.0,1.0,1.0,1.0
cnsm,Norimi,Different Player,7,0.9351851851851852,0.9310009665431352,0.9343879473389186,0.9326252757603853,0.8995146679564548
cnsm,Norimi,Same Player,8,1.0,1.0,1.0,1.0,1.0
cnsm,Norimi,Different Player,8,0.9290123456790124,0.9246429805983647,0.9268408639361461,0.9256326837363525,0.8898883294484443
cnsm,Norimi,Same Player,9,1.0,1.0,1.0,1.0,1.0
cnsm,Norimi,Different Player,9,0.9266975308641975,0.9268298211511398,0.9231638440704121,0.9247864435972467,0.8860151979736035
cnsm,Fanton,Same Player,0,1.0,1.0,1.0,1.0,1.0
cnsm,Fanton,Different Player,0,0.9296754250386399,0.9215947754346997,0.9300203509546207,0.9253937895993812,0.890917613404774
cnsm,Fanton,Same Player,1,1.0,1.0,1.0,1.0,1.0
cnsm,Fanton,Different Player,1,0.9296754250386399,0.9247274250065537,0.9276226738153669,0.9261018151179314,0.8906176848707336
cnsm,Fanton,Same Player,2,1.0,1.0,1.0,1.0,1.0
cnsm,Fanton,Different Player,2,0.9312210200927357,0.9267424621915641,0.9314186417082339,0.9289836481846846,0.89310589353471
cnsm,Fanton,Same Player,3,1.0,1.0,1.0,1.0,1.0
cnsm,Fanton,Different Player,3,0.9343122102009274,0.9283899926787308,0.9332775891996281,0.9306748569692775,0.8979222505178597
cnsm,Fanton,Same Player,4,1.0,1.0,1.0,1.0,1.0
cnsm,Fanton,Different Player,4,0.9358578052550232,0.9311407188812161,0.935209675484275,0.9330825410236301,0.9002826201599905
cnsm,Fanton,Same Player,5,1.0,1.0,1.0,1.0,1.0
cnsm,Fanton,Different Player,5,0.9281298299845441,0.9241276893126343,0.9251971758481661,0.9246570490050252,0.8881238890665556
cnsm,Fanton,Same Player,6,1.0,1.0,1.0,1.0,1.0
cnsm,Fanton,Different Player,6,0.9327666151468316,0.9292351869552076,0.9302779118529139,0.9297510494947209,0.8953385891190361
cnsm,Fanton,Same Player,7,1.0,1.0,1.0,1.0,1.0
cnsm,Fanton,Different Player,7,0.9335394126738794,0.9337779472968178,0.9309366733812405,0.9323257517761153,0.8963751219839242
cnsm,Fanton,Same Player,8,1.0,1.0,1.0,1.0,1.0
